"subjects"	"S"	"instruction"	"R"	"rt"
"1225"	"1"	"left"	"accuracy"	"left"	0.714913492796321
"5425"	"1"	"left"	"speed"	"right"	0.957028574871392
"2077"	"1"	"right"	"speed"	"left"	0.574252580152975
"1789"	"1"	"right"	"speed"	"right"	1.59503249786357
"4657"	"1"	"left"	"speed"	"left"	0.735060417193613
"1165"	"1"	"right"	"speed"	"right"	0.808082301487525
"3253"	"1"	"right"	"accuracy"	"right"	0.917782819495716
"5437"	"1"	"right"	"speed"	"right"	0.779883450680486
"5149"	"1"	"right"	"speed"	"left"	1.03776379680769
"4057"	"1"	"left"	"accuracy"	"left"	0.697757757424168
"121"	"1"	"left"	"accuracy"	"right"	3.68869234608829
"1441"	"1"	"left"	"speed"	"right"	0.809294814866873
"5053"	"1"	"right"	"speed"	"right"	0.649017882624729
"2137"	"1"	"left"	"accuracy"	"left"	1.24648449975241
"2185"	"1"	"left"	"accuracy"	"left"	2.63858892998519
"3817"	"1"	"left"	"accuracy"	"left"	1.34265233546386
"1537"	"1"	"left"	"speed"	"left"	0.97326900794449
"1993"	"1"	"left"	"accuracy"	"left"	1.08288440747366
"4621"	"1"	"right"	"speed"	"right"	0.721444521049728
"1969"	"1"	"left"	"speed"	"right"	1.80193483387123
"5269"	"1"	"right"	"accuracy"	"right"	1.19546328555056
"745"	"1"	"left"	"accuracy"	"left"	1.09169362336459
"5365"	"1"	"right"	"accuracy"	"right"	1.15228775236969
"4009"	"1"	"left"	"accuracy"	"left"	0.956536506211873
"4717"	"1"	"right"	"speed"	"right"	0.625203811100201
"757"	"1"	"right"	"accuracy"	"right"	1.08032574225988
"4381"	"1"	"right"	"speed"	"right"	0.799162019852849
"1009"	"1"	"left"	"speed"	"left"	0.846490139910583
"4261"	"1"	"right"	"accuracy"	"left"	4.18488229970577
"2713"	"1"	"left"	"accuracy"	"left"	0.676747423038304
"4597"	"1"	"right"	"accuracy"	"right"	1.3370080976991
"2365"	"1"	"right"	"speed"	"right"	1.35103866659849
"2233"	"1"	"left"	"accuracy"	"right"	0.941904560254075
"4993"	"1"	"left"	"speed"	"right"	0.735978846513758
"769"	"1"	"left"	"speed"	"left"	0.797863130193794
"1597"	"1"	"right"	"speed"	"right"	1.87436011783656
"2257"	"1"	"left"	"speed"	"left"	1.33728587034889
"4705"	"1"	"left"	"speed"	"left"	0.953629764107284
"4765"	"1"	"right"	"speed"	"right"	1.07320190861447
"5461"	"1"	"right"	"accuracy"	"left"	2.53443289351364
"4981"	"1"	"right"	"accuracy"	"right"	1.93295277569394
"2293"	"1"	"right"	"accuracy"	"right"	0.970323346391036
"4609"	"1"	"left"	"speed"	"left"	0.847038476354903
"1213"	"1"	"right"	"speed"	"right"	1.21307317754017
"4921"	"1"	"left"	"accuracy"	"left"	0.925469723281785
"1945"	"1"	"left"	"accuracy"	"right"	1.23591919454419
"3049"	"1"	"left"	"accuracy"	"left"	1.89800690768886
"3265"	"1"	"left"	"speed"	"left"	1.25654746814812
"1825"	"1"	"left"	"speed"	"right"	0.912723927604293
"985"	"1"	"left"	"accuracy"	"left"	0.791495242462987
"1957"	"1"	"right"	"accuracy"	"right"	0.6804802964647
"3865"	"1"	"left"	"accuracy"	"left"	0.862650725154303
"3121"	"1"	"left"	"speed"	"left"	1.07999645951056
"3325"	"1"	"right"	"speed"	"right"	0.62389329843306
"2329"	"1"	"left"	"accuracy"	"left"	0.994781938663195
"2785"	"1"	"left"	"speed"	"left"	0.725180740540032
"4873"	"1"	"left"	"accuracy"	"left"	2.97162898023568
"4189"	"1"	"right"	"speed"	"left"	0.972468480571733
"5233"	"1"	"left"	"speed"	"right"	0.821030264359358
"853"	"1"	"right"	"accuracy"	"right"	0.849836406202873
"5041"	"1"	"left"	"speed"	"left"	0.726372435333928
"5473"	"1"	"left"	"speed"	"left"	1.22647143190273
"1681"	"1"	"left"	"speed"	"left"	1.00567381941614
"577"	"1"	"left"	"speed"	"left"	0.981805484025039
"3625"	"1"	"left"	"accuracy"	"left"	1.81758641295517
"1117"	"1"	"right"	"speed"	"left"	0.865210890240032
"4969"	"1"	"left"	"accuracy"	"right"	2.41257061186096
"3721"	"1"	"left"	"accuracy"	"left"	1.44207584738317
"3805"	"1"	"right"	"speed"	"right"	1.22299038355413
"1153"	"1"	"left"	"speed"	"left"	0.952324571406125
"5017"	"1"	"left"	"accuracy"	"left"	1.41155658779605
"3913"	"1"	"left"	"accuracy"	"right"	0.619646979385228
"5029"	"1"	"right"	"accuracy"	"right"	1.31408615801585
"2125"	"1"	"right"	"speed"	"left"	0.852661863569533
"2377"	"1"	"left"	"accuracy"	"left"	1.45078931452912
"5317"	"1"	"right"	"accuracy"	"right"	0.848798184638194
"409"	"1"	"left"	"accuracy"	"right"	2.26699388328412
"4669"	"1"	"right"	"speed"	"left"	0.946971002279566
"2689"	"1"	"left"	"speed"	"right"	1.25366966870831
"517"	"1"	"right"	"accuracy"	"right"	0.916179420829628
"5305"	"1"	"left"	"accuracy"	"right"	2.52005946420658
"1849"	"1"	"left"	"accuracy"	"left"	0.97590075186734
"613"	"1"	"right"	"accuracy"	"right"	2.09543963714113
"3685"	"1"	"right"	"accuracy"	"right"	0.928944682030239
"3229"	"1"	"right"	"speed"	"right"	1.18936553802997
"1489"	"1"	"left"	"speed"	"left"	0.603200523428171
"3085"	"1"	"right"	"speed"	"right"	0.757298224801304
"937"	"1"	"left"	"accuracy"	"left"	0.702065190954043
"961"	"1"	"left"	"speed"	"left"	0.70698501153199
"1237"	"1"	"right"	"accuracy"	"left"	1.42001298883118
"3409"	"1"	"left"	"speed"	"right"	0.687797934465695
"1741"	"1"	"right"	"speed"	"left"	0.731827464772327
"505"	"1"	"left"	"accuracy"	"left"	1.08845050824857
"1573"	"1"	"right"	"accuracy"	"left"	1.10215847644971
"4249"	"1"	"left"	"accuracy"	"left"	1.38416677704696
"4957"	"1"	"right"	"speed"	"right"	1.3000282457318
"1885"	"1"	"right"	"speed"	"left"	0.80113600855838
"4093"	"1"	"right"	"speed"	"right"	0.713684011056049
"3457"	"1"	"left"	"speed"	"left"	0.583959831320475
"3361"	"1"	"left"	"speed"	"right"	0.75013783828856
"5353"	"1"	"left"	"accuracy"	"right"	0.863563021141138
"4825"	"1"	"left"	"accuracy"	"right"	1.23235506852538
"1717"	"1"	"right"	"accuracy"	"right"	2.34256019591416
"2353"	"1"	"left"	"speed"	"left"	0.712201839933587
"2281"	"1"	"left"	"accuracy"	"left"	1.70067816088017
"565"	"1"	"right"	"accuracy"	"left"	0.758116291595867
"3337"	"1"	"left"	"accuracy"	"left"	0.910152975200125
"901"	"1"	"right"	"accuracy"	"right"	1.81898430134539
"3709"	"1"	"right"	"speed"	"right"	0.706939923678996
"2545"	"1"	"left"	"speed"	"right"	0.571130640701431
"1273"	"1"	"left"	"accuracy"	"right"	1.52682585409534
"2497"	"1"	"left"	"speed"	"left"	2.58011824209438
"3829"	"1"	"right"	"accuracy"	"right"	1.65401928081033
"4933"	"1"	"right"	"accuracy"	"right"	1.34496996741724
"2041"	"1"	"left"	"accuracy"	"left"	0.638424313893817
"3061"	"1"	"right"	"accuracy"	"right"	0.894899220283131
"1285"	"1"	"right"	"accuracy"	"right"	0.715315537746059
"2593"	"1"	"left"	"speed"	"left"	0.823990933011231
"3757"	"1"	"right"	"speed"	"right"	0.986617613701621
"3205"	"1"	"right"	"accuracy"	"right"	1.49739013622863
"4441"	"1"	"left"	"accuracy"	"left"	1.0115096424558
"5125"	"1"	"right"	"accuracy"	"right"	0.90124426295554
"1141"	"1"	"right"	"accuracy"	"right"	0.904053635752065
"697"	"1"	"left"	"accuracy"	"right"	0.703539338046385
"49"	"1"	"left"	"speed"	"left"	1.14105485189072
"3013"	"1"	"right"	"accuracy"	"right"	1.15012364024092
"1309"	"1"	"right"	"speed"	"right"	1.0348871061506
"5101"	"1"	"right"	"speed"	"left"	1.90961558335525
"913"	"1"	"left"	"speed"	"left"	0.659481087288451
"1057"	"1"	"left"	"speed"	"right"	0.725438352509521
"3529"	"1"	"left"	"accuracy"	"left"	1.11422376804188
"3517"	"1"	"right"	"speed"	"right"	1.05953891326061
"1609"	"1"	"left"	"accuracy"	"left"	1.01573765351812
"5509"	"1"	"right"	"accuracy"	"left"	0.699495399231283
"2905"	"1"	"left"	"accuracy"	"left"	0.919735605533297
"3889"	"1"	"left"	"speed"	"right"	1.28052412025479
"793"	"1"	"left"	"accuracy"	"left"	0.661731106680953
"805"	"1"	"right"	"accuracy"	"right"	2.09820001380243
"2389"	"1"	"right"	"accuracy"	"right"	0.996015448560033
"3421"	"1"	"right"	"speed"	"right"	0.774457972802815
"1933"	"1"	"right"	"speed"	"right"	1.37316875175912
"3241"	"1"	"left"	"accuracy"	"left"	0.989966253909206
"3193"	"1"	"left"	"accuracy"	"left"	0.795182207334578
"1297"	"1"	"left"	"speed"	"right"	0.928193126968072
"589"	"1"	"right"	"speed"	"right"	1.05522583096326
"3505"	"1"	"left"	"speed"	"left"	0.718675186817798
"865"	"1"	"left"	"speed"	"left"	0.692349133773157
"2761"	"1"	"left"	"accuracy"	"left"	2.02049886610697
"1585"	"1"	"left"	"speed"	"right"	1.36823769845186
"4129"	"1"	"left"	"speed"	"left"	0.865466790329928
"109"	"1"	"right"	"speed"	"right"	1.76029851973708
"1033"	"1"	"left"	"accuracy"	"left"	1.42745551341441
"265"	"1"	"left"	"accuracy"	"left"	0.854985711066998
"5005"	"1"	"right"	"speed"	"right"	0.612924441330578
"4165"	"1"	"right"	"accuracy"	"right"	1.07215336175209
"4105"	"1"	"left"	"accuracy"	"left"	1.39755029274046
"5161"	"1"	"left"	"accuracy"	"left"	0.783486477419122
"5449"	"1"	"left"	"accuracy"	"right"	0.784062499278467
"1261"	"1"	"right"	"speed"	"right"	1.16304061731353
"2653"	"1"	"right"	"speed"	"right"	0.822835764901175
"1693"	"1"	"right"	"speed"	"right"	0.760165831022066
"4753"	"1"	"left"	"speed"	"left"	0.939934922706422
"2821"	"1"	"right"	"accuracy"	"left"	1.27351630566784
"133"	"1"	"right"	"accuracy"	"right"	1.50621907730919
"2725"	"1"	"right"	"accuracy"	"right"	1.69939714748981
"3565"	"1"	"right"	"speed"	"right"	0.824301670243599
"5221"	"1"	"right"	"accuracy"	"right"	1.18237754717213
"3493"	"1"	"right"	"accuracy"	"right"	0.973949404747709
"4801"	"1"	"left"	"speed"	"left"	0.804974988625096
"2029"	"1"	"right"	"speed"	"right"	1.07064631581069
"4285"	"1"	"right"	"speed"	"right"	1.74286537579988
"2677"	"1"	"right"	"accuracy"	"left"	0.729751545053105
"1189"	"1"	"right"	"accuracy"	"right"	2.30528077236623
"721"	"1"	"left"	"speed"	"right"	0.802815808167411
"4525"	"1"	"right"	"speed"	"right"	0.968844186947296
"2929"	"1"	"left"	"speed"	"left"	1.05845279155799
"3853"	"1"	"right"	"speed"	"left"	1.04607718480008
"2737"	"1"	"left"	"speed"	"left"	0.854917822845836
"1549"	"1"	"right"	"speed"	"right"	0.600378197277322
"2941"	"1"	"right"	"speed"	"right"	0.892765051234826
"4081"	"1"	"left"	"speed"	"right"	0.592734890237787
"3973"	"1"	"right"	"accuracy"	"right"	1.26914237160565
"337"	"1"	"left"	"speed"	"left"	1.98849529035944
"2053"	"1"	"right"	"accuracy"	"right"	3.2357108535482
"829"	"1"	"right"	"speed"	"right"	0.596583000339853
"1477"	"1"	"right"	"accuracy"	"right"	0.927888711972961
"2101"	"1"	"right"	"accuracy"	"left"	1.015140729767
"2413"	"1"	"right"	"speed"	"right"	0.971914006578468
"1021"	"1"	"right"	"speed"	"right"	0.912584669328777
"2425"	"1"	"left"	"accuracy"	"left"	1.26762246299071
"2317"	"1"	"right"	"speed"	"left"	1.10847353964201
"2401"	"1"	"left"	"speed"	"right"	0.80678919031875
"2581"	"1"	"right"	"accuracy"	"right"	0.642580975706606
"2701"	"1"	"right"	"speed"	"left"	0.894672562800766
"1861"	"1"	"right"	"accuracy"	"right"	2.53900763068201
"4909"	"1"	"right"	"speed"	"right"	0.899544604474716
"1981"	"1"	"right"	"speed"	"right"	0.840267115524707
"817"	"1"	"left"	"speed"	"left"	1.92233528965948
"4477"	"1"	"right"	"speed"	"right"	1.01740054727165
"5077"	"1"	"right"	"accuracy"	"left"	2.54607193854905
"3769"	"1"	"left"	"accuracy"	"left"	1.03304939561325
"5281"	"1"	"left"	"speed"	"left"	1.65106687192973
"5485"	"1"	"right"	"speed"	"left"	0.887294618964525
"97"	"1"	"left"	"speed"	"left"	0.686099239147083
"4297"	"1"	"left"	"accuracy"	"left"	0.790741952088031
"2221"	"1"	"right"	"speed"	"left"	0.789663823586018
"2749"	"1"	"right"	"speed"	"right"	0.838664135290867
"481"	"1"	"left"	"speed"	"left"	0.940492959095864
"3397"	"1"	"right"	"accuracy"	"right"	1.23565923428608
"5065"	"1"	"left"	"accuracy"	"left"	2.60828151324223
"2161"	"1"	"left"	"speed"	"left"	0.873151335026488
"4021"	"1"	"right"	"accuracy"	"left"	1.29691659319014
"3841"	"1"	"left"	"speed"	"left"	1.01827375059308
"3385"	"1"	"left"	"accuracy"	"left"	1.07566861475351
"637"	"1"	"right"	"speed"	"right"	0.763693950413978
"5341"	"1"	"right"	"speed"	"right"	1.05276594969817
"1897"	"1"	"left"	"accuracy"	"left"	2.12865837550208
"1465"	"1"	"left"	"accuracy"	"right"	1.45843008586034
"1381"	"1"	"right"	"accuracy"	"right"	2.34225695474085
"1801"	"1"	"left"	"accuracy"	"left"	1.27336370166521
"3661"	"1"	"right"	"speed"	"right"	0.947265752008566
"253"	"1"	"right"	"speed"	"left"	0.676636238493293
"493"	"1"	"right"	"speed"	"left"	0.615349966057755
"2893"	"1"	"right"	"speed"	"right"	0.958259722078072
"241"	"1"	"left"	"speed"	"left"	1.67980951225263
"3937"	"1"	"left"	"speed"	"left"	1.27700989744854
"277"	"1"	"right"	"accuracy"	"right"	2.59710761355797
"1513"	"1"	"left"	"accuracy"	"left"	0.880958486140656
"2665"	"1"	"left"	"accuracy"	"left"	0.725755026436559
"1705"	"1"	"left"	"accuracy"	"right"	1.40372871855704
"2269"	"1"	"right"	"speed"	"right"	0.87683127819061
"5245"	"1"	"right"	"speed"	"left"	0.614328398204534
"205"	"1"	"right"	"speed"	"right"	1.19128831040696
"5293"	"1"	"right"	"speed"	"right"	1.08036746019629
"4537"	"1"	"left"	"accuracy"	"right"	1.55680139554624
"2089"	"1"	"left"	"accuracy"	"right"	0.825284640507917
"4501"	"1"	"right"	"accuracy"	"right"	0.678826282650784
"529"	"1"	"left"	"speed"	"left"	0.72874622999002
"925"	"1"	"right"	"speed"	"right"	0.63337627435148
"709"	"1"	"right"	"accuracy"	"right"	1.24353300585352
"3637"	"1"	"right"	"accuracy"	"left"	1.80276317010296
"2149"	"1"	"right"	"accuracy"	"left"	1.26150219223023
"3925"	"1"	"right"	"accuracy"	"right"	0.839660407846168
"4333"	"1"	"right"	"speed"	"right"	0.900936918758968
"4357"	"1"	"right"	"accuracy"	"right"	1.09148608124668
"4141"	"1"	"right"	"speed"	"right"	0.654019655750816
"4777"	"1"	"left"	"accuracy"	"left"	1.23235696007757
"5209"	"1"	"left"	"accuracy"	"left"	0.67860158055167
"4681"	"1"	"left"	"accuracy"	"left"	1.07782475901639
"3301"	"1"	"right"	"accuracy"	"right"	1.03031322516339
"673"	"1"	"left"	"speed"	"left"	2.21022461547644
"1045"	"1"	"right"	"accuracy"	"right"	1.42603788545721
"3433"	"1"	"left"	"accuracy"	"left"	1.67289490344648
"325"	"1"	"right"	"accuracy"	"right"	0.810473065876105
"3313"	"1"	"left"	"speed"	"right"	1.8326443382021
"4345"	"1"	"left"	"accuracy"	"left"	0.682636393481146
"889"	"1"	"left"	"accuracy"	"right"	1.37780897645846
"3037"	"1"	"right"	"speed"	"right"	1.07737813465866
"1417"	"1"	"left"	"accuracy"	"left"	1.23178617057457
"3109"	"1"	"right"	"accuracy"	"right"	0.872736327706018
"3025"	"1"	"left"	"speed"	"left"	1.48617501018768
"3181"	"1"	"right"	"speed"	"left"	1.36868860687072
"2437"	"1"	"right"	"accuracy"	"right"	0.576882434077404
"3745"	"1"	"left"	"speed"	"left"	0.629202379701941
"4153"	"1"	"left"	"accuracy"	"left"	0.956898211140047
"1669"	"1"	"right"	"accuracy"	"right"	0.755383049225146
"181"	"1"	"right"	"accuracy"	"right"	0.952253185892159
"3133"	"1"	"right"	"speed"	"right"	0.90933277333898
"2521"	"1"	"left"	"accuracy"	"left"	0.992302361354341
"301"	"1"	"right"	"speed"	"right"	0.899541950328992
"2461"	"1"	"right"	"speed"	"right"	1.04989449509938
"2605"	"1"	"right"	"speed"	"left"	0.674939386467587
"1525"	"1"	"right"	"accuracy"	"left"	2.91422079445264
"1633"	"1"	"left"	"speed"	"left"	2.24019094327076
"5257"	"1"	"left"	"accuracy"	"left"	1.39746641398626
"2005"	"1"	"right"	"accuracy"	"right"	0.838812259346124
"2197"	"1"	"right"	"accuracy"	"right"	1.36397986203706
"1105"	"1"	"left"	"speed"	"left"	1.15572248439437
"3649"	"1"	"left"	"speed"	"left"	1.04297263107222
"5413"	"1"	"right"	"accuracy"	"right"	2.00210913277434
"1657"	"1"	"left"	"accuracy"	"right"	0.972798041842041
"2341"	"1"	"right"	"accuracy"	"right"	1.70396169425836
"5389"	"1"	"right"	"speed"	"right"	1.27181590741943
"3289"	"1"	"left"	"accuracy"	"left"	0.971998598883247
"3553"	"1"	"left"	"speed"	"left"	1.17361521336977
"2557"	"1"	"right"	"speed"	"right"	0.879442572572809
"553"	"1"	"left"	"accuracy"	"left"	1.11108367732716
"649"	"1"	"left"	"accuracy"	"right"	1.21999316373628
"1729"	"1"	"left"	"speed"	"left"	0.935570583619505
"61"	"1"	"right"	"speed"	"right"	0.9436520842775
"1405"	"1"	"right"	"speed"	"right"	0.924730915411875
"3097"	"1"	"left"	"accuracy"	"left"	1.58399525331262
"3469"	"1"	"right"	"speed"	"left"	1.61029933337414
"3145"	"1"	"left"	"accuracy"	"right"	1.60509253255717
"313"	"1"	"left"	"accuracy"	"left"	1.33239202461736
"157"	"1"	"right"	"speed"	"right"	0.632326603370363
"193"	"1"	"left"	"speed"	"left"	0.746699222537158
"4429"	"1"	"right"	"speed"	"right"	1.09464976876841
"661"	"1"	"right"	"accuracy"	"right"	0.607017300980957
"625"	"1"	"left"	"speed"	"left"	0.858950851566675
"1837"	"1"	"right"	"speed"	"right"	0.76081316618491
"5173"	"1"	"right"	"accuracy"	"left"	1.07984994210629
"1621"	"1"	"right"	"accuracy"	"right"	0.685088257918165
"2965"	"1"	"right"	"accuracy"	"left"	1.72845122948663
"4045"	"1"	"right"	"speed"	"right"	0.741125979766049
"1777"	"1"	"left"	"speed"	"left"	1.09368092874836
"3445"	"1"	"right"	"accuracy"	"right"	4.18934495940795
"1345"	"1"	"left"	"speed"	"left"	0.780839520086955
"4117"	"1"	"right"	"accuracy"	"right"	0.892827560161008
"2797"	"1"	"right"	"speed"	"left"	1.21876672595809
"4549"	"1"	"right"	"accuracy"	"left"	0.851063074811027
"4573"	"1"	"right"	"speed"	"right"	0.907799257617314
"3613"	"1"	"right"	"speed"	"left"	0.617601777959629
"2485"	"1"	"right"	"accuracy"	"right"	0.830616444582458
"4861"	"1"	"right"	"speed"	"right"	0.760094801702121
"4633"	"1"	"left"	"accuracy"	"left"	0.747516763378148
"5113"	"1"	"left"	"accuracy"	"left"	0.925507231963625
"2869"	"1"	"right"	"accuracy"	"right"	0.994623468935802
"1069"	"1"	"right"	"speed"	"right"	0.955954343796008
"3673"	"1"	"left"	"accuracy"	"left"	0.989553288334702
"4849"	"1"	"left"	"speed"	"left"	1.00633865087867
"3577"	"1"	"left"	"accuracy"	"right"	0.689663468367895
"1129"	"1"	"left"	"accuracy"	"left"	1.47657086109758
"2641"	"1"	"left"	"speed"	"left"	1.58612187227428
"4453"	"1"	"right"	"accuracy"	"left"	2.55932859570324
"1333"	"1"	"right"	"accuracy"	"right"	0.865197482165228
"349"	"1"	"right"	"speed"	"right"	0.774847508180748
"3349"	"1"	"right"	"accuracy"	"right"	0.807838183431043
"433"	"1"	"left"	"speed"	"left"	0.824088772420944
"3589"	"1"	"right"	"accuracy"	"right"	0.677634991612546
"397"	"1"	"right"	"speed"	"left"	0.901932851570829
"2473"	"1"	"left"	"accuracy"	"left"	1.153393218529
"85"	"1"	"right"	"accuracy"	"right"	1.25652181196325
"1921"	"1"	"left"	"speed"	"left"	2.38137292958406
"2989"	"1"	"right"	"speed"	"right"	0.854465889911536
"3373"	"1"	"right"	"speed"	"right"	0.83906351356017
"4273"	"1"	"left"	"speed"	"right"	1.01999536490413
"5185"	"1"	"left"	"speed"	"left"	1.00451634631635
"4897"	"1"	"left"	"speed"	"right"	1.03645856379548
"289"	"1"	"left"	"speed"	"right"	1.02153501936284
"5497"	"1"	"left"	"accuracy"	"left"	0.764839095833981
"3949"	"1"	"right"	"speed"	"right"	0.84162191979197
"373"	"1"	"right"	"accuracy"	"left"	1.70765984583275
"3985"	"1"	"left"	"speed"	"left"	0.818273405991871
"1429"	"1"	"right"	"accuracy"	"right"	1.55627653133548
"421"	"1"	"right"	"accuracy"	"right"	1.26133230039219
"2917"	"1"	"right"	"accuracy"	"right"	1.76259106614809
"13"	"1"	"right"	"speed"	"right"	0.663724796480337
"2881"	"1"	"left"	"speed"	"left"	0.82051204209682
"4789"	"1"	"right"	"accuracy"	"right"	0.642740571637537
"685"	"1"	"right"	"speed"	"left"	0.870822228375307
"4693"	"1"	"right"	"accuracy"	"right"	2.72605723485407
"4321"	"1"	"left"	"speed"	"left"	0.633961654810572
"1873"	"1"	"left"	"speed"	"right"	0.807912851814616
"4405"	"1"	"right"	"accuracy"	"right"	1.64788706069965
"4513"	"1"	"left"	"speed"	"left"	0.635747725715341
"2569"	"1"	"left"	"accuracy"	"left"	1.14212885960458
"4213"	"1"	"right"	"accuracy"	"right"	0.679753110391775
"4585"	"1"	"left"	"accuracy"	"left"	2.03918101969775
"2953"	"1"	"left"	"accuracy"	"right"	1.53200959712345
"469"	"1"	"right"	"accuracy"	"right"	1.39245123231549
"4885"	"1"	"right"	"accuracy"	"right"	1.75487781930206
"877"	"1"	"right"	"speed"	"left"	0.867696935630011
"1"	"1"	"left"	"speed"	"left"	0.611689771711563
"2833"	"1"	"left"	"speed"	"right"	0.543646414839625
"2173"	"1"	"right"	"speed"	"right"	0.558255391005789
"3961"	"1"	"left"	"accuracy"	"left"	0.881945390115623
"2449"	"1"	"left"	"speed"	"right"	0.644044717629091
"3877"	"1"	"right"	"accuracy"	"right"	0.701420216436484
"733"	"1"	"right"	"speed"	"left"	0.852583863268902
"4201"	"1"	"left"	"accuracy"	"left"	1.26920897821489
"4645"	"1"	"right"	"accuracy"	"right"	0.661050402304817
"1501"	"1"	"right"	"speed"	"right"	0.706561958192337
"4945"	"1"	"left"	"speed"	"left"	0.716085988519039
"2065"	"1"	"left"	"speed"	"right"	0.599148137655651
"1909"	"1"	"right"	"accuracy"	"left"	0.759176156540613
"3901"	"1"	"right"	"speed"	"right"	0.985963973522065
"1093"	"1"	"right"	"accuracy"	"right"	1.23285802864289
